Date,Close
2015-03-03,39.91
2015-04-03,40.49
2015-05-03,40.13
2015-06-03,38.78
2015-09-03,38.18
2015-10-03,38.06
2015-11-03,38.75
2015-12-03,38.21
3/13/2015 16:00:00,37.74
3/16/2015 16:00:00,39.14
3/17/2015 16:00:00,38.95
3/18/2015 16:00:00,40.14
3/19/2015 16:00:00,39.13
3/20/2015 16:00:00,39.62
3/23/2015 16:00:00,39.93
3/24/2015 16:00:00,40.34
3/25/2015 16:00:00,38.86
3/26/2015 16:00:00,38.08
3/27/2015 16:00:00,37
3/30/2015 16:00:00,38.11
3/31/2015 16:00:00,37.75
2015-01-04,37.52
2015-02-04,38.2
2015-06-04,40.62
2015-07-04,40.65
2015-08-04,41.53
2015-09-04,42.02
2015-10-04,42.18
4/13/2015 16:00:00,41.96
4/14/2015 16:00:00,41.49
4/15/2015 16:00:00,41.57
4/16/2015 16:00:00,41.34
4/17/2015 16:00:00,41.36
4/20/2015 16:00:00,41.05
4/21/2015 16:00:00,41.88
4/22/2015 16:00:00,43.89
4/23/2015 16:00:00,43.72
4/24/2015 16:00:00,43.69
4/27/2015 16:00:00,46.31
4/28/2015 16:00:00,46.1
4/29/2015 16:00:00,46.49
4/30/2015 16:00:00,45.21
2015-01-05,45.21
2015-04-05,46.1
2015-05-05,46.59
2015-06-05,46.09
2015-07-05,47.36
2015-08-05,47.32
2015-11-05,47.9
2015-12-05,48.95
5/13/2015 16:00:00,48.64
5/14/2015 16:00:00,48.82
5/15/2015 16:00:00,49.77
5/18/2015 16:00:00,49.75
5/19/2015 16:00:00,49.43
5/20/2015 16:00:00,48.87
5/21/2015 16:00:00,49.12
5/22/2015 16:00:00,49.55
5/26/2015 16:00:00,49.49
5/27/2015 16:00:00,49.49
5/28/2015 16:00:00,50.29
5/29/2015 16:00:00,50.16
2015-01-06,49.89
2015-02-06,49.67
2015-03-06,49.8
2015-04-06,49.18
2015-05-06,49.83
2015-08-06,51.26
2015-09-06,51.2
2015-10-06,50.14
2015-11-06,50.28
2015-12-06,50.14
6/15/2015 16:00:00,50.08
6/16/2015 16:00:00,50.62
6/17/2015 16:00:00,52.08
6/18/2015 16:00:00,52.38
6/19/2015 16:00:00,52.5
6/22/2015 16:00:00,51.96
6/23/2015 16:00:00,53.53
6/24/2015 16:00:00,53.03
6/25/2015 16:00:00,53.76
6/26/2015 16:00:00,53.42
6/29/2015 16:00:00,52.4
6/30/2015 16:00:00,53.65
2015-01-07,53.83
2015-02-07,56
2015-06-07,55.94
2015-07-07,53.58
2015-08-07,50.99
2015-09-07,51.58
2015-10-07,51.83
7/13/2015 16:00:00,52.43
7/14/2015 16:00:00,53.13
7/15/2015 16:00:00,52.63
7/16/2015 16:00:00,53.34
7/17/2015 16:00:00,54.93
7/20/2015 16:00:00,56.45
7/21/2015 16:00:00,53.35
7/22/2015 16:00:00,53.57
7/23/2015 16:00:00,53.44
7/24/2015 16:00:00,53.08
7/27/2015 16:00:00,50.6
7/28/2015 16:00:00,52.96
7/29/2015 16:00:00,52.76
7/30/2015 16:00:00,53.36
7/31/2015 16:00:00,53.23
2015-03-08,52
2015-04-08,53.26
2015-05-08,54.03
2015-06-08,49.23
2015-07-08,48.5
2015-10-08,48.23
2015-11-08,47.47
2015-12-08,47.63
8/13/2015 16:00:00,48.5
8/14/2015 16:00:00,48.63
8/17/2015 16:00:00,51
8/18/2015 16:00:00,52.14
8/19/2015 16:00:00,51.05
8/20/2015 16:00:00,48.44
8/21/2015 16:00:00,46.15
8/24/2015 16:00:00,43.77
8/25/2015 16:00:00,44.01
8/26/2015 16:00:00,44.97
8/27/2015 16:00:00,48.6
8/28/2015 16:00:00,49.7
8/31/2015 16:00:00,49.81
2015-01-09,47.73
2015-02-09,49.54
2015-03-09,49.11
2015-04-09,48.39
2015-08-09,49.63
2015-09-09,49.78
2015-10-09,49.7
2015-11-09,50.05
9/14/2015 16:00:00,50.64
9/15/2015 16:00:00,50.71
9/16/2015 16:00:00,52.45
9/17/2015 16:00:00,52.41
9/18/2015 16:00:00,52.12
9/21/2015 16:00:00,52.84
9/22/2015 16:00:00,52.19
9/23/2015 16:00:00,52.21
9/24/2015 16:00:00,52.62
9/25/2015 16:00:00,51.38
9/28/2015 16:00:00,49.69
9/29/2015 16:00:00,49.33
9/30/2015 16:00:00,49.68
